file_name,dsatur_colours,maxis_colours
graphs/instances/g0221.col,9,9
graphs/instances/g0224.col,8,9
graphs/instances/g0225.col,8,10
graphs/instances/g0226.col,7,9
graphs/instances/g0223.col,6,7
graphs/instances/g0227.col,7,9
graphs/instances/g0229.col,7,9
graphs/instances/g0228.col,6,9
graphs/instances/g0230.col,7,7
graphs/instances/g0233.col,7,8
graphs/instances/g0231.col,7,9
graphs/instances/g0235.col,7,9
graphs/instances/g0234.col,8,10
graphs/instances/g0232.col,7,8
graphs/instances/g0237.col,6,6
graphs/instances/g0238.col,6,6
graphs/instances/g0236.col,7,10
graphs/instances/g0240.col,6,6
graphs/instances/g0239.col,6,6
graphs/instances/g0242.col,6,6
graphs/instances/g0241.col,6,6
graphs/instances/g0243.col,13,13
graphs/instances/g0244.col,6,6
graphs/instances/g0247.col,6,6
graphs/instances/g0246.col,6,6
graphs/instances/g0248.col,6,6
graphs/instances/g0245.col,10,10
graphs/instances/g0250.col,6,9
graphs/instances/g0251.col,6,8
graphs/instances/g0252.col,7,8
graphs/instances/g0253.col,4,5
graphs/instances/g0254.col,4,7
graphs/instances/g0255.col,6,7
graphs/instances/g0257.col,6,8
graphs/instances/g0136.col,7,
graphs/instances/g0256.col,9,10
graphs/instances/g0259.col,10,13
graphs/instances/g0261.col,8,10
graphs/instances/g0258.col,5,6
graphs/instances/g0262.col,10,11
graphs/instances/g0264.col,7,8
graphs/instances/g0265.col,6,7
graphs/instances/g0266.col,7,8
graphs/instances/g0267.col,7,7
graphs/instances/g0268.col,7,8
graphs/instances/g0260.col,5,6
graphs/instances/g0270.col,6,8
graphs/instances/g0269.col,7,7
graphs/instances/g0271.col,6,6
graphs/instances/g0272.col,5,7
graphs/instances/g0273.col,5,9
graphs/instances/g0275.col,6,9
graphs/instances/g0276.col,5,7
graphs/instances/g0277.col,6,9
graphs/instances/g0278.col,6,7
graphs/instances/g0263.col,6,7
graphs/instances/g0279.col,6,7
graphs/instances/g0274.col,4,7
graphs/instances/g0280.col,6,7
graphs/instances/g0282.col,5,7
graphs/instances/g0281.col,5,7
graphs/instances/g0283.col,6,7
graphs/instances/g0284.col,7,6
graphs/instances/g0285.col,6,7
graphs/instances/g0286.col,5,6
graphs/instances/g0287.col,6,7
graphs/instances/g0289.col,5,8
graphs/instances/g0290.col,6,6
graphs/instances/g0292.col,6,7
graphs/instances/g0291.col,5,6
graphs/instances/g0288.col,6,6
graphs/instances/g0295.col,7,8
graphs/instances/g0293.col,5,7
graphs/instances/g0294.col,6,7
graphs/instances/g0297.col,10,11
graphs/instances/g0298.col,7,8
graphs/instances/g0299.col,6,7
graphs/instances/g0296.col,9,9
graphs/instances/g0300.col,6,8
graphs/instances/g0303.col,7,8
graphs/instances/g0302.col,6,6
graphs/instances/g0305.col,6,7
graphs/instances/g0304.col,5,7
graphs/instances/g0301.col,5,7
graphs/instances/g0306.col,5,6
graphs/instances/g0309.col,5,7
graphs/instances/g0307.col,5,6
graphs/instances/g0310.col,6,7
graphs/instances/g0311.col,5,7
graphs/instances/g0308.col,6,7
graphs/instances/g0312.col,5,8
graphs/instances/g0313.col,6,6
graphs/instances/g0314.col,6,8
graphs/instances/g0315.col,6,5
graphs/instances/g0317.col,5,7
graphs/instances/g0318.col,5,6
graphs/instances/g0320.col,5,6
graphs/instances/g0319.col,6,7
graphs/instances/g0321.col,5,6
graphs/instances/g0322.col,5,6
graphs/instances/g0324.col,9,11
graphs/instances/g0323.col,9,10
graphs/instances/g0326.col,10,13
graphs/instances/g0325.col,7,10
graphs/instances/g0328.col,5,8
graphs/instances/g0316.col,5,6
graphs/instances/g0329.col,5,8
graphs/instances/g0330.col,4,6
graphs/instances/g0332.col,6,8
graphs/instances/g0333.col,6,7
graphs/instances/g0334.col,5,6
graphs/instances/g0335.col,6,8
graphs/instances/g0336.col,6,7
graphs/instances/g0337.col,5,8
graphs/instances/g0249.col,4,
graphs/instances/g0339.col,6,7
graphs/instances/g0340.col,4,6
graphs/instances/g0338.col,5,7
graphs/instances/g0331.col,6,7
graphs/instances/g0342.col,34,32
